ActorAttrType_18139_AttributeDesc,abog,h唤醒体属性类型_ActorAttrType_A.csv,21,ActorAttrType,AttributeDesc,,每消耗 1 算力获得 {s1} 点银钥能量。随着该属性增加，额外提高的银钥能量会逐渐衰减。,行動力を1点消費するたびに、{s1}キーエネルギーを獲得。この能力値が高くなるほど、追加ボーナスの増加効率は低下する。
AvgDialog_54067_Content_50,aneh,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,939,AvgDialog,Content,,信徒们张开双臂，疯狂地欢呼着。,信徒たちは両腕を広げ、狂ったように歓声を上げた。
AvgDialog_54067_Content_51,anei,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,940,AvgDialog,Content,,触手在风雨中微微摆动着，利莫里亚的所有人都毫不怀疑，这些利莫里亚的伟大神祇，拥有能够抵御一切灾厄的力量。,風雨の中、触腕が緩やかに揺れる。民は、この偉大なるリモリアの神々が、\nあらゆる厄災を退ける力を持っていると、信じて疑わなかった。
AvgDialog_54067_Content_52,anej,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,941,AvgDialog,Content,弥利亚姆,吾主，图鲁——,主、トゥルーよ——
AvgDialog_54067_Content_53,anek,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,942,AvgDialog,Content,信徒,吾主，图鲁！！图鲁！！！,主、トゥルーよ！！トゥルー！！！
AvgDialog_54067_Content_54,anel,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,943,AvgDialog,Content,,她转过身，望着神殿内部的方向，跪倒在地。,ミリアムは振り返り、神殿の奥を見つめながら跪いた。
AvgDialog_54067_Content_55,anem,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,944,AvgDialog,Content,,在无人能看到的眼里，没有任何主祭的期冀与威严，只剩下迷茫。,誰にも見られないその瞳の奥には、祭司長としての期待も威厳もなく、ただ困惑だけが残っていた。
AvgDialog_54067_Content_56,anen,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,945,AvgDialog,Content,弥利亚姆,请聆听您信徒的呼唤。请为我们，带来神国。,お聞きください、信徒の叫びを。我らに神の国をお授けください。
AvgDialog_54067_Content_57,aneo,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,946,AvgDialog,Content,信徒,请为我们，带来神国！,神の国を我らに！
AvgDialog_54067_Content_58,anep,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,947,AvgDialog,Content,信徒,吾主！神国！哈哈哈……神国就要降临了！,主よ！神の国を！ははは……もうすぐ神の国が降臨する！
AvgDialog_54067_Content_59,aneq,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,948,AvgDialog,Content,,伴随着疯狂的呼喊声，触手开始舞动。深海的静谧气息从触手上传来，从神殿传往利莫里亚的每一寸土地，传入每个利莫里亚人的感官里。,狂気に染まった叫び声とともに、触腕が蠢いた。深海の静謐な気配が触腕から立ちのぼり、神殿から隅々へと広がり、人々の感覚に浸透する。
AvgDialog_54067_Content_60,anes,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,949,AvgDialog,Content,,轰——,ゴゴォ——
AvgDialog_54067_Content_61,anet,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,950,AvgDialog,Content,,滚滚雷声里，欢呼声平息。闪电从天空亮起，照耀着利莫里亚孤单的土地。,轟く雷鳴の中、歓声は静まり返った。\n稲妻が天を裂き、リモリアの孤独な大地を照らし出す。
AvgDialog_54067_Content_62,aneu,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,951,AvgDialog,Content,,在这狂欢的一刻，信徒们的动作停了下来，停在对王至高的颂念与信仰里，停在对未来无限的畅想与希冀中。,狂喜の瞬間、信徒たちの動きは止まった。至高なる王への讃歌と信仰、未来への果てなき想像と希望の中に、彼らは静かにとどまっていた。
AvgDialog_54067_Content_63,anev,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,952,AvgDialog,Content,,暴雨之下，利莫里亚的子民们酣然入梦。,激しい雨の下、リモリアの民は深い眠りに就いた。
AvgDialog_54067_Content_64,anew,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,953,AvgDialog,Content,,……,……
AvgDialog_54067_Content_65,anex,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,954,AvgDialog,Content,,石板门关上的声音变得漫长沉重。,石の扉が閉まる音は、長く重く響く。
AvgDialog_54067_Content_66,aney,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,955,AvgDialog,Content,,强烈的鱼腥味塞满整个房间。原本空旷的祷告室，在此时变得无比拥挤。,強烈な魚の臭いが、部屋中に充満する。\n広いはずの祈りの部屋は、今や息苦しいほど狭く感じた。
AvgDialog_54067_Content_67,anez,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,956,AvgDialog,Content,,所有的鱼人都被从水池中捞起，摆放在祷告室的地板上。,すべての魚人が水槽から引き上げられ、祈りの部屋の床に並べられた。
AvgDialog_54067_Content_68,aneA,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,957,AvgDialog,Content,,侍卫们并不知道这位新任主祭想要做什么，他们也没有机会再知道了。,衛兵たちは、新たに任じられた祭司長が何をしようとしているのか知らず、\nそして知る機会すらも訪れなかった。
AvgDialog_54067_Content_69,aneB,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,958,AvgDialog,Content,,弥利亚姆来到房间的角落，蹲下身，抚摸离自己最近的那只鱼人。,ミリアムは部屋の隅へ行き、しゃがみこんで、もっとも近くにいた魚人を撫でた。
AvgDialog_54067_Content_70,aneD,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,959,AvgDialog,Content,弥利亚姆,「父亲……是你吗？」,「父さん……父さんなの？」
AvgDialog_54067_Content_71,aneE,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,960,AvgDialog,Content,弥利亚姆,「我是弥利亚姆，你的女儿。」,「私よ。ミリアム、あなたの娘」
AvgDialog_54067_Content_72,aneF,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,961,AvgDialog,Content,弥利亚姆,「如果你能听到的话，回应我，好吗？父亲……」,「聞えているなら、応えて、父さん……」
AvgDialog_54067_Content_73,aneG,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,962,AvgDialog,Content,鱼人,「……呜……呜……」,「……うぅ……うぅ……」
AvgDialog_54067_Content_74,aneH,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,963,AvgDialog,Content,,鱼人的鳃一开一合，嘴唇上下翕动，发出意义不明的呜咽，和平日里的声音没有任何区别。,魚人の鰓は開けたり閉じたりを繰り返し、唇が上下に動く。\n意味を成さないうめき声は、普段の声と何ら変わりない。
AvgDialog_54067_Content_75,aneI,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,964,AvgDialog,Content,,弥利亚姆走向第二只，蹲下身，抚摸它。,ミリアムは二匹目の魚人へと歩み寄り、腰を下ろしてその体に触れた。
AvgDialog_54067_Content_76,aneJ,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,965,AvgDialog,Content,弥利亚姆,「父亲，我成为利莫里亚的主祭了，我比你曾经所梦想的做得还要更好……」,「父さん、私、リモリアの祭司長になったのよ。\n父さんが夢見てたより、ずっと立派になったの……」
AvgDialog_54067_Content_77,aneK,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,966,AvgDialog,Content,弥利亚姆,「我没有让你失望，父亲……睁开眼看看我吧……」,「父さんをがっかりさせてなんかいない。\nだから父さん……目を開けて、私を見て……」
AvgDialog_54067_Content_78,aneL,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,967,AvgDialog,Content,,鱼人巨大的眼睛胡乱地望着这个陌生的地方，对它面前这个主祭没有半点兴趣。,魚人の大きな目はこの見知らぬ場所を無造作に見渡すばかりで、眼前の祭司長にはまるで関心を示さなかった。
AvgDialog_54067_Content_79,aneM,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,968,AvgDialog,Content,,她走向第三只。,ミリアムは三匹目の魚人に近づいた。
AvgDialog_54067_Content_80,aneO,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,969,AvgDialog,Content,弥利亚姆,「我见到了王，我们信奉的王……可王告诉我，利莫里亚就要覆灭了。」,「王にお目にかかったわ。私たちが信じてきた、あの王に……\nでも王はおっしゃったの。リモリアは滅びるって……」
AvgDialog_54067_Content_81,aneP,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,970,AvgDialog,Content,弥利亚姆,「王说，我能拯救利莫里亚，我能将利莫里亚带回来……」,「王はこうもおっしゃったわ。私にリモリアを救える力があるって。\nリモリアを取り戻せるって……」
AvgDialog_54067_Content_82,aneQ,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,971,AvgDialog,Content,弥利亚姆,「我没办法相信王的话，可是那样，我就只能相信我们一直生活在谎言里，我们做的一切，我对你做的那些……那些事，都没有任何意义。」,「王のお言葉を信じられないの。今まで嘘の中で生きてきたなんて。\n私が父さんにしたことも……全部、意味がなかったなんて」
AvgDialog_54067_Content_83,aneR,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,972,AvgDialog,Content,弥利亚姆,「我不知道，我不知道……父亲，我该怎么做？」,「わからない。もう何もわからない……\n私はどうすればいいの、父さん……」
AvgDialog_54067_Content_84,aneS,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,973,AvgDialog,Content,弥利亚姆,「睁开眼看看我吧，父亲……和我说说话，再摸一下我的头，就一下……」,「目を開けて、父さん。私を見て……何か話して。\nまた頭を撫でて。それだけでいいの……」
AvgDialog_54067_Content_85,aneT,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,974,AvgDialog,Content,,鱼人盯着它。茫然的眼神，就像在盯着一株晃动着的紫色水草。,魚人は、ただそれを見ていた。\nその虚ろな目は、揺れ動く紫の水草によく似ている。
AvgDialog_54067_Content_86,aneU,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,975,AvgDialog,Content,,弥利亚姆走向下一只，再下一只……她蹲下身，一只只地抚摸它们，亲吻它们。,ミリアムは、次々と魚人に歩み寄り……しゃがみこんで一匹ずつ撫で、口づけを落とした。
AvgDialog_54067_Content_87,aneV,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,976,AvgDialog,Content,,老师带给她职责，王带给她希望。而那个能够倾听她的迷茫与痛苦的人，那个能够抚摸着她的头安慰她的人，早已经不在了。,師は彼女に責務を、王は希望を与えた。しかし彼女の迷いや痛みに耳を傾けてくれる人、頭を撫でて慰めてくれる人は、とうにいない。
AvgDialog_54067_Content_88,aneW,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,977,AvgDialog,Content,,她一只只地凑到它们耳边，向它们倾诉，在它们之中寻觅着。,ミリアムは一匹ずつの耳元に語りかけ、その群れに何かを探し続けた。
AvgDialog_54067_Content_89,aneX,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,978,AvgDialog,Content,,父亲还活着吗？活下来的那只鱼人，还能算自己的父亲吗？,父はまだ生きているのか。\n生き残ったあの魚人は、まだ父と呼べる存在なのだろうか。
AvgDialog_54067_Content_90,aneZ,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,979,AvgDialog,Content,,她不知道。她不关心。,彼女にはわからない。気にすることもない。
AvgDialog_54067_Content_91,anfa,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,980,AvgDialog,Content,,暴雨声穿透墙壁传了进来。偌大的祷告室里，无数的鱼人在躺在地上，摆动着它们的肢体与尾鳍。,激しい雨音が壁を突き抜け、響き渡る。\n広々とした祈りの部屋の床には無数の魚人たちが横たわり、手足と尾鰭を動かしていた。
AvgDialog_54067_Content_92,anfb,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,981,AvgDialog,Content,,一个紫色的身影，在这些鱼人之间穿行，寻觅，诉说。,紫色の影が魚人たちの間を歩き回り、何かを探し、語りかける。
AvgDialog_54067_Content_93,anfc,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,982,AvgDialog,Content,,半截破损的雕像，端坐在残缺的王座之上，静静地望着她。,半壊した彫像が欠けた玉座に座し、静かにこちらを見つめていた。
AvgDialog_54067_Content_94,anfd,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,983,AvgDialog,Content,,……,……
AvgDialog_54067_Content_95,anfe,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,984,AvgDialog,Content,,轰——,ゴゴォ——
AvgDialog_54067_Content_96,anff,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,985,AvgDialog,Content,,惊雷在老人头顶炸响。他没有理会，爬上了最后一级石阶。,雷鳴が轟き、老人の頭上で炸裂する。\nしかし彼は気にする様子もなく、最後の階段を上りきった。
AvgDialog_54067_Content_97,anfg,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,986,AvgDialog,Content,老主祭,「呼……呼……」,「はぁ……はぁ……」
AvgDialog_54067_Content_98,anfh,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,987,AvgDialog,Content,,他已经太老了，独自登上这座山，对他来说是一件如此困难的事。,年老いた彼にとって、独力でこの山を登ることは困難を極めた。
AvgDialog_54067_Content_99,anfi,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,988,AvgDialog,Content,,他瘫坐在光秃秃的山顶，大口喘着粗气，肺腔像是锈迹斑斑的风车，发出苍老的哀鸣。,彼は草も生えていない山頂にへたり込み、息を切らしている。\n肺は錆びついた風車のように軋み、呻き声を上げていた。
AvgDialog_54067_Content_100,anca,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,989,AvgDialog,Content,,暴雨击打在他干枯的躯体上，狂风几乎要将他吹倒。在利莫里亚的最高点，老人眺望着这个庞大的岛屿。,激しい雨が干からびた体を叩き、荒れ狂う風は今にも彼を吹き倒しそうだ。\nしかしリモリアの山頂で、老人はこの巨大な島を見渡していた。
AvgDialog_54067_Content_101,ancb,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,990,AvgDialog,Content,,眼里的锐利和苍老都消失不见，它们清澈，痛快，好奇，像是一个刚出生的婴孩，兴致勃勃地盯着这个疮痍的土地。,鋭さも老いも消えた代わりに、瞳は済みきり、純粋さと好奇心に満ちている。\n彼は生まれたての赤子のように、夢中で荒れた大地を見つめた。
AvgDialog_54067_Content_102,ancc,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,991,AvgDialog,Content,老主祭,「呵呵呵……利莫里亚，多美的地方啊。」,「ふふふ……リモリアよ、なんと美しい場所なのだ」
AvgDialog_54067_Content_103,ancd,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,992,AvgDialog,Content,老主祭,「您现在在想什么呢，吾主？」,「今、何をお考えですか、主よ？」
AvgDialog_54067_Content_104,ance,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,993,AvgDialog,Content,老主祭,「您总是说，您对拯救利莫里亚没有兴趣，您只感到困倦。可为了利莫里亚，您把自己困在了王座上，困在自己的梦境里。」,「よく仰られていましたね。救うことに興味がない、疲れるだけだと。\nですが、あなた様は自らを玉座に縛り、ご自身を夢へ閉じ込めた」
AvgDialog_54067_Content_105,ancf,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,994,AvgDialog,Content,老主祭,「神明已消失，可您仍在追寻……我只是一个骗子，您才是利莫里亚最伟大的守护者。」,「神は姿を消されたのに、あなた様はなおも追い求めて……私はただの詐欺師ですが、リモリアの偉大な真の守護者は、あなた様なのです」
AvgDialog_54067_Content_106,ancg,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,995,AvgDialog,Content,老主祭,「再看一眼吧，吾主。再看最后一眼。利莫里亚，我们的故乡……」,「ご覧ください、主よ。\n最後に一目、リモリア、我らの故郷を……」
AvgDialog_54067_Content_107,anch,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,996,AvgDialog,Content,,老人抬起头，目光从岛屿上那些陷入沉睡的子民，移到天边沸腾的海洋，移到天空无情的惊雷与暴雨。,老人は顔を上げた。その視線を島の上で眠りに就いた民から遠い彼方で沸き立つ海へ、そして空に轟く無情な雷雨へと視線を移す。
AvgDialog_54067_Content_108,anci,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,997,AvgDialog,Content,,他颤巍巍地站起来，温情融化在深邃的眸中。须发与长袍在风中飘摇，重新变得锐利的双眼，如利刃般直直刺向天空。,彼は震えながら立ち上がる。深い眼差しからは、温もりが消えていた。髭と法衣が風に揺れ、鋭さを取り戻した眼は、刃のように天を突く。
AvgDialog_54067_Content_109,ancj,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,998,AvgDialog,Content,老主祭,「繁杂的骗局，无聊的使命，庄严的承诺，让这些东西都统统见鬼去吧。」,「手の込んだ嘘も、退屈な使命も、荘厳な誓いも。\nそんなものは、みんなまとめてくたばるがいい」
AvgDialog_54067_Content_110,ancl,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,999,AvgDialog,Content,,他扔掉拐杖，张开双臂，迎接着风暴。他嘶吼着。,彼は杖を投げ捨て、両腕を広げて嵐に対峙する。そして吠えた。
AvgDialog_54067_Content_111,ancm,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1000,AvgDialog,Content,老主祭,「来吧，灾厄！来吧，卑劣的神明！」,「来い、災厄よ！来るがいい、卑劣なる神よ！」
AvgDialog_54067_Content_112,ancn,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1001,AvgDialog,Content,老主祭,「我是你们的共犯。让我们一起，为利莫里亚送葬！」,「私はお前たちの共犯者だ。ともにリモリアを葬ろうではないか！」
AvgDialog_54067_Content_113,anco,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1002,AvgDialog,Content,,……,……
AvgDialog_54067_Content_114,ancp,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1003,AvgDialog,Content,,轰——,ドゴォォン——
AvgDialog_54067_Content_115,ancq,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1004,AvgDialog,Content,,沉闷的声响，穿透无数道厚重的石墙，在神殿的寝宫中回荡。,幾重にもなる石壁を突き抜けた重低音が、神殿に響く。
AvgDialog_54067_Content_116,ancr,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1005,AvgDialog,Content,,图鲁一只手撑着自己的下颌，疲惫地坐在王座之上。,トゥルーは片手で顎を支え、疲れた様子で玉座に腰を下ろしていた。
AvgDialog_54067_Content_117,ancs,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1006,AvgDialog,Content,,利莫里亚的子民们陷入了沉眠。他用尽自己全部的力量，赠予他们一场美丽的梦境。,リモリアの民は眠りに就いた。\n彼はすべての力を注ぎ、美しい夢を彼らに贈ったのだ。
AvgDialog_54067_Content_118,anct,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1007,AvgDialog,Content,图鲁,「“利莫里亚的风暴将平息。利莫里亚的深渊将消逝。”」,「リモリアの嵐は静まる。リモリアの深淵は消え去る。」
AvgDialog_54067_Content_119,ancu,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1008,AvgDialog,Content,图鲁,「“王将庇护他良善的子民，带来神的国度……”」,「王は善良な民草を守り、神の国をもたらす……」
AvgDialog_54067_Content_120,ancw,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1009,AvgDialog,Content,图鲁,「真会讽刺。是你传达的意志吗，“利莫里亚的神”？」,「皮肉な話じゃ、これは貴様の意志か、『リモリアの神』よ？」
AvgDialog_54067_Content_121,ancx,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1010,AvgDialog,Content,,他抬起头，目光穿过头顶的石板，穿过暴雨与乌云，直到深沉的星空，直到比星空更深沉的梦境。,トゥルーは顔を上げた。彼の視線は頭上の石板を越え、嵐と黒雲を越え、深い星空へ、そして星空よりもなお深い夢の中へと向かっている。
AvgDialog_54067_Content_122,ancy,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1011,AvgDialog,Content,图鲁,「你早已离去……你从未在意利莫里亚。对吗？」,「貴様はとうに去った……\n初めからリモリアになど、興味はなかったのじゃろう？」
AvgDialog_54067_Content_123,ancz,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1012,AvgDialog,Content,图鲁,「你也在被更高的意志所追逐，猎杀，遗弃。你与余一样，都是无主的孤魂。」,「貴様もまた、より高位の意志に追われ、狩られ、捨てられたのよ。\n余と同じ、主なき孤独な魂なのじゃ」
AvgDialog_54067_Content_124,ancA,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1013,AvgDialog,Content,图鲁,「利莫里亚人，信仰着无情的神明，和弱小的王。神国……呵，实在无聊。」,「リモリアの民は、無慈悲な神と惰弱な王を信じておる。\n神の国……ふん、くだらぬ」
AvgDialog_54067_Content_125,ancB,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1014,AvgDialog,Content,图鲁,「很抱歉。不过这次，余真的乏了。」,「すまぬの。しかし今回は、さすがに余も疲れ果てたのじゃ」
AvgDialog_54067_Content_126,ancC,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1015,AvgDialog,Content,,他斜坐在王座之上，一只手撑在下颌，沉沉睡去。,トゥルーは玉座にその身を預け、片手で顎を支えながら、深い眠りへと落ちていった。
AvgDialog_54067_Content_127,ancD,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1016,AvgDialog,Content,,他与子民们进入了同一个梦境。在那里，利莫里亚阳光灿烂，欢声笑语。,彼は民草と同じ夢の中へ入っていった。そこではリモリアに燦々と陽光が降り注ぎ、歓声と笑い声が溢れていた。
AvgDialog_54067_Content_128,ancE,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1017,AvgDialog,Content,,他为利莫里亚带来了梦寐以求的神国。他为利莫里亚带来了梦寐以求的谎言。,彼はリモリアに、夢にまで見た神の国をもたらした。\n彼はリモリアに、夢にまで見た虚構をもたらした。
AvgDialog_54067_Content_129,ancF,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1018,AvgDialog,Content,,以谎言为故乡送别，这是他身为利莫里亚的王，最后的权力与慈悲。,虚構をもって、故郷を送り出す。\nそれが王として彼に残された最後の権力であり、慈悲であった。
AvgDialog_54067_Content_130,ancH,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1019,AvgDialog,Content,,……,……
AvgDialog_54067_Content_131,ancI,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1020,AvgDialog,Content,,啪——,パラッ——
AvgDialog_54067_Content_132,ancJ,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1021,AvgDialog,Content,,碎石从雕像上掉落下来。那座巨大的沉默雕像，如今已经残破不堪。,像の破片がこぼれ落ちる。あの黙して立ち続けていた巨大な像は崩れ落ち、今や無残な姿を晒していた。
AvgDialog_54067_Content_133,ancK,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1022,AvgDialog,Content,弥利亚姆,「父亲，你看……那是王的眼泪。吾主，正在为利莫里亚哀悼。」,「父さん、見て……王の涙よ。\n主はリモリアのために泣いてらっしゃるんだわ」
AvgDialog_54067_Content_134,ancL,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1023,AvgDialog,Content,,在她的怀里，一只鱼人翻动着巨大的眼睛，茫然地四处张望着。,ミリアムの腕の中で、魚人は大きな目を動かしながら、きょろきょろあたりを見回していた。
AvgDialog_54067_Content_135,ancM,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1024,AvgDialog,Content,,她找不到伊诺斯，于是每只鱼人便都是伊诺斯。,彼女はエノスを見つけられなかった。\nだから、すべての魚人がエノスに見えた。
AvgDialog_54067_Content_136,ancN,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1025,AvgDialog,Content,,暴雨的声音穿透墙壁，越发强烈，鱼人们浓重的腥味弥漫在房间里。她轻轻抚摸着它。,猛烈な雨音が壁を貫き、激しさを増す。魚人たちの濃厚な生臭さが部屋に立ち込め、彼女はその頭を静かに撫でていた。
AvgDialog_54067_Content_137,ancO,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1026,AvgDialog,Content,幼年弥利亚姆,「老师，王……他们似乎都放弃了。」,「先生、それに王も……みんな、もう諦めたのね」
AvgDialog_54067_Content_138,ancP,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1027,AvgDialog,Content,弥利亚姆,「我……不会放弃的……我能拯救利莫里亚，我能将利莫里亚带回来。这是王亲口告诉我的。」,「わたくしは……諦めない。リモリアを救う。リモリアを取り戻す。\nこれは、王直々のお言葉なの」
AvgDialog_54067_Content_139,ancQ,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1028,AvgDialog,Content,幼年弥利亚姆,「母亲死了，妹妹死了，父亲……也死了。」,「母さんは死んだ。妹も死んで……父さんも死んじゃった」
AvgDialog_54067_Content_140,ancS,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1029,AvgDialog,Content,幼年弥利亚姆,「我很害怕，弥利亚姆。我怕我们做的这些，都没有意义……」,「怖いよ、ミリアム。私たちがやってること、全部無駄だったら、どうしよう……」
AvgDialog_54067_Content_141,ancT,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1030,AvgDialog,Content,弥利亚姆,「那么多的灾难，父亲只是一个普通的人，可他都从来没有害怕过，也没有放弃过。」,「あんなにも多くの災厄があっても、父さんは決して恐れなかった。\n決してあきらめなかった。普通の人だったのに」
AvgDialog_54067_Content_142,ancU,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1031,AvgDialog,Content,弥利亚姆,「我们是利莫里亚的主祭，我们也绝不会放弃……这是父亲教会我的。」,「わたくしたちはリモリアの祭司長よ。だから決して諦めない……\nこれは、父さんが教えてくれたことよ」
AvgDialog_54067_Content_143,ancV,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1032,AvgDialog,Content,,她微笑着，轻声安慰着。泪水奔涌，混合着这些她也不知道是真是假的话，滴落在鱼人的鳞片上，折射出幽暗的光。,彼女は微笑みながら、静かに慰めていた。溢れ出す涙は、真実か嘘かわからない言葉と混ざり、魚人の鰓に滑り落ちて、仄暗い光を反射した。
AvgDialog_54067_Content_144,ancW,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1033,AvgDialog,Content,,轰轰轰——,ゴゴゴ——
AvgDialog_54067_Content_145,ancX,avgV1.4弥利亚姆大型支线上篇_AvgDialog_C_M.csv,1034,AvgDialog,Content,,脚下的土地猛然震动起来。神殿坚固的石柱苦苦支撑着，头顶的石板逐渐支离、瓦解，碎落在地。,足元の大地が、突如激しく揺れた。神殿の頑丈な石柱は必死に支えようとしたが、頭上の石板はひび割れ、崩れ落ち、砕け散った。
